,Unnamed: 0,City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
3935,3935,Amritsar,2019-07-09,25.52,67.57,12.78,9.21,10.32,3.77,0.45,1.71,36.79,3.0,1.26,6.12,69.0,Satisfactory
3936,3936,Amritsar,2019-07-10,52.38,135.9,22.33,16.7,25.97,11.78,0.34,7.4,23.79,2.27,0.86,5.37,89.0,Satisfactory
3938,3938,Amritsar,2019-07-12,48.44,135.54,41.18,25.05,47.83,33.67,0.48,4.99,21.32,3.19,1.09,9.54,110.0,Moderate
3944,3944,Amritsar,2019-07-18,31.59,62.79,31.8,20.49,41.64,22.79,0.39,5.37,18.33,3.13,1.08,8.1,53.0,Satisfactory
3946,3946,Amritsar,2019-07-20,36.65,64.81,13.68,11.3,21.67,12.08,0.53,8.0,18.76,3.59,1.14,9.62,61.0,Satisfactory
3951,3951,Amritsar,2019-07-25,28.22,53.0,8.29,9.31,16.63,10.16,0.27,12.54,21.49,3.5,1.06,10.07,70.0,Satisfactory
3952,3952,Amritsar,2019-07-26,24.73,49.38,9.45,9.94,18.63,10.66,0.5,11.8,14.03,3.7,1.12,13.25,46.0,Good
3955,3955,Amritsar,2019-07-29,29.12,48.46,12.49,14.06,20.12,11.88,0.26,14.42,9.09,4.03,1.1,12.32,51.0,Satisfactory
3962,3962,Amritsar,2019-08-05,31.11,54.02,8.11,9.13,15.87,10.09,0.24,4.81,10.51,3.88,1.09,8.74,59.0,Satisfactory
3964,3964,Amritsar,2019-08-07,27.95,50.61,7.85,8.96,16.73,10.06,0.5,5.53,17.22,3.35,1.13,12.05,52.0,Satisfactory
3965,3965,Amritsar,2019-08-08,27.18,64.55,8.85,8.96,16.41,10.13,0.48,2.96,14.03,3.75,1.11,13.8,61.0,Satisfactory
3974,3974,Amritsar,2019-08-17,19.43,39.75,13.5,9.19,22.69,10.72,0.42,6.13,14.29,3.16,1.13,2.0,44.0,Good
3980,3980,Amritsar,2019-08-23,34.9,72.3,13.1,8.83,21.94,11.05,0.24,9.0,28.31,2.25,1.02,2.0,69.0,Satisfactory
3982,3982,Amritsar,2019-08-25,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,80.0,Satisfactory
3990,3990,Amritsar,2019-09-02,29.85,53.6,13.17,8.92,22.06,11.09,0.57,9.33,15.45,2.21,1.11,2.0,54.0,Satisfactory
3991,3991,Amritsar,2019-09-03,41.67,71.05,13.23,8.81,21.81,11.06,1.49,21.08,29.75,2.45,1.42,1.96,79.0,Satisfactory
3993,3993,Amritsar,2019-09-05,20.82,36.97,13.25,8.81,22.06,11.07,0.68,5.7,21.35,1.72,1.1,2.0,64.0,Satisfactory
3995,3995,Amritsar,2019-09-07,32.83,58.77,13.26,8.77,22.03,11.08,1.0,6.3,13.84,1.97,1.11,2.0,70.0,Satisfactory
3996,3996,Amritsar,2019-09-08,28.54,56.86,16.3,12.06,25.35,11.66,0.84,5.78,14.57,2.03,1.11,2.0,68.0,Satisfactory
4002,4002,Amritsar,2019-09-14,45.56,70.58,17.74,14.37,30.73,9.51,1.52,16.32,19.24,1.92,1.18,1.98,103.0,Moderate
4008,4008,Amritsar,2019-09-20,27.76,52.71,14.0,11.15,24.29,9.29,1.29,20.75,24.46,1.85,1.11,2.0,97.0,Satisfactory
4010,4010,Amritsar,2019-09-22,46.92,76.58,13.6,10.93,23.48,9.62,0.69,41.56,36.57,2.25,1.11,2.0,87.0,Satisfactory
4012,4012,Amritsar,2019-09-24,29.2,55.32,13.75,10.56,23.89,9.34,0.6,10.52,27.3,1.96,1.11,2.0,61.0,Satisfactory
4018,4018,Amritsar,2019-09-30,16.26,48.02,13.12,10.54,23.63,9.32,0.56,16.98,11.52,1.66,1.1,2.0,48.0,Good
4020,4020,Amritsar,2019-10-02,27.76,65.44,13.38,10.66,23.26,9.41,0.82,49.41,18.07,1.88,1.07,1.99,67.0,Satisfactory
4024,4024,Amritsar,2019-10-06,66.88,95.67,11.96,12.09,20.86,30.09,0.32,4.7,39.06,5.13,1.2,1.98,86.0,Satisfactory
4025,4025,Amritsar,2019-10-07,34.53,75.78,10.57,11.41,20.97,30.69,0.23,3.05,36.75,3.45,1.15,2.0,94.0,Satisfactory
4027,4027,Amritsar,2019-10-09,47.82,71.06,27.37,12.56,25.77,37.76,0.33,4.19,32.11,3.2,1.07,2.48,81.0,Satisfactory
4028,4028,Amritsar,2019-10-10,36.76,64.47,10.5,11.64,20.98,30.77,0.31,1.64,42.89,3.24,1.15,2.0,77.0,Satisfactory
4029,4029,Amritsar,2019-10-11,67.93,112.42,12.37,12.05,20.91,30.03,0.33,7.35,34.49143047551808,4.06,1.11,1.83,154.0,Moderate
4031,4031,Amritsar,2019-10-13,89.61,136.04,12.1,11.33,22.42,29.97,0.28,5.1,34.49143047551808,4.56,1.22,2.0,179.0,Moderate
4035,4035,Amritsar,2019-10-17,58.05,81.17,12.25,11.65,21.66,30.47,0.47,16.53,34.49143047551808,2.53,3.64,1.95,95.0,Satisfactory
4039,4039,Amritsar,2019-10-21,62.48,136.27,11.15,11.51,21.67,30.36,0.54,7.47,27.11,2.31,3.76,2.0,110.0,Moderate
4041,4041,Amritsar,2019-10-23,96.33,172.08,11.63,18.14,28.97,28.99,0.46,13.85,16.81,2.9,3.57,1.96,227.0,Poor
4043,4043,Amritsar,2019-10-25,90.71,135.6,12.5,13.12,23.71,31.44,0.87,15.28,19.52,3.07,3.83,1.96,198.0,Moderate
4045,4045,Amritsar,2019-10-27,116.05,181.67,13.78,9.11,22.22,32.83,0.79,17.71,19.78,3.39,3.83,2.03,212.0,Poor
4046,4046,Amritsar,2019-10-28,249.1,303.33,43.34,19.85,55.39,20.44,0.31,34.17,17.9,3.43,4.01,2.06,399.0,Very Poor
4050,4050,Amritsar,2019-11-01,154.49,235.28,17.73,9.94,27.64,12.81,0.37,19.27,15.38,3.53,4.21,2.0,313.0,Very Poor
4054,4054,Amritsar,2019-11-05,97.09,186.99,41.45,32.85,51.49,24.67,0.53,10.5,16.23,2.2,2.58,1.98,261.0,Poor
4055,4055,Amritsar,2019-11-06,137.13,221.46,16.97,9.95,26.71,12.99,0.48,10.68,18.85,2.14,2.49,2.0,254.0,Poor
4062,4062,Amritsar,2019-11-13,189.44,339.69,17.22,10.0,27.22,13.0,0.48,16.3,15.22,3.13,3.65,2.0,358.0,Very Poor
4065,4065,Amritsar,2019-11-16,86.49,164.0,17.17,9.91,27.08,13.0,0.36,13.01,11.08,2.31,3.22,2.0,259.0,Poor
4067,4067,Amritsar,2019-11-18,101.44,190.56,17.24,10.01,26.96,13.01,0.65,11.37,20.02,2.12,2.83,1.98,162.0,Moderate
4068,4068,Amritsar,2019-11-19,147.55,263.97,17.23,10.0,27.23,13.0,0.56,11.86,12.65,3.55,4.6,2.01,322.0,Very Poor
4074,4074,Amritsar,2019-11-25,39.29,146.1,9.5,9.99,19.49,13.0,0.48,10.74,16.08,2.83,3.9,2.01,108.0,Moderate
4080,4080,Amritsar,2019-12-01,60.29,99.83,9.54,10.06,19.6,4.93,0.71,8.9,24.19,2.41,3.08,2.0,89.0,Satisfactory
4082,4082,Amritsar,2019-12-03,87.69,140.27,9.51,10.05,19.2,5.1,0.59,10.68,22.89,3.1,3.37,1.98,183.0,Moderate
4084,4084,Amritsar,2019-12-05,66.85,103.82,11.81,13.89,20.33,5.53,0.5,9.82,21.56,2.38,2.82,1.9,147.0,Moderate
4085,4085,Amritsar,2019-12-06,54.62,84.09,10.47,11.54,20.38,5.25,0.24,11.64,17.87,2.42,2.96,2.0,106.0,Moderate
4086,4086,Amritsar,2019-12-07,74.16,111.95,10.88,10.78,18.86,5.19,0.82,18.45,17.24,2.74,3.28,1.85,121.0,Moderate
4088,4088,Amritsar,2019-12-09,103.57,162.16,14.29,15.08,23.71,6.76,0.7,12.35,19.0,3.15,3.69,2.0,187.0,Moderate
4090,4090,Amritsar,2019-12-11,86.0,132.04,11.49,12.72,20.34,5.63,0.54,13.79,17.99,2.62,2.7,2.0,245.0,Poor
4093,4093,Amritsar,2019-12-14,39.26,47.36,12.76,13.75,21.92,6.29,0.71,7.47,16.45,1.77,2.09,2.0,59.0,Satisfactory
4096,4096,Amritsar,2019-12-17,49.45,64.66,13.29,13.0,21.65,6.2,0.65,5.64,23.2,1.89,1.81,1.98,74.0,Satisfactory
4099,4099,Amritsar,2019-12-20,108.34,125.24,11.99,11.94,21.0,5.61,0.62,7.66,20.05,2.09,1.91,2.0,171.0,Moderate
4102,4102,Amritsar,2019-12-23,69.27,101.77,12.78,13.24,21.79,5.93,0.53,7.18,23.26,2.02,1.84,1.98,108.0,Moderate
4104,4104,Amritsar,2019-12-25,52.73,76.1,10.3,10.53,19.5,5.3,0.74,6.27,48.65,1.72,1.74,2.0,141.0,Moderate
4105,4105,Amritsar,2019-12-26,58.57,84.32,10.44,10.62,20.2,4.87,0.8,6.96,46.13,1.69,1.65,1.96,91.0,Satisfactory
4106,4106,Amritsar,2019-12-27,77.3,105.41,10.48,10.73,19.7,5.17,0.73,11.3,53.99,1.68,1.62,1.98,126.0,Moderate
4107,4107,Amritsar,2019-12-28,80.31,106.95,9.62,10.78,19.14,5.07,0.64,11.47,66.65,1.59,1.57,1.96,156.0,Moderate
4111,4111,Amritsar,2020-01-01,94.38,137.93,9.91,10.38,18.95,5.1,0.42,15.79,40.21,2.62,2.4,1.98,184.0,Moderate
4113,4113,Amritsar,2020-01-03,78.22,110.89,9.63,10.03,18.02,11.99,0.62,11.43,27.0,2.61,2.97,1.82,160.0,Moderate
4114,4114,Amritsar,2020-01-04,96.86,134.78,9.35,10.02,19.27,11.99,0.11,8.12,36.13,3.43,3.81,2.0,221.0,Poor
4123,4123,Amritsar,2020-01-13,47.0,61.51,9.67,10.01,19.68,12.06,0.4,6.24,25.62,1.83,2.09,2.0,74.0,Satisfactory
4127,4127,Amritsar,2020-01-17,77.37,110.41,9.63,10.03,19.65,12.06,0.89,7.44,34.49143047551808,2.55,2.49,2.0,121.0,Moderate
4129,4129,Amritsar,2020-01-19,57.46,82.99,9.3,10.02,19.25,11.94,0.63,6.57,34.49143047551808,2.07,2.2,2.0,111.0,Moderate
4136,4136,Amritsar,2020-01-26,45.03,82.9,9.88,10.69,18.16,11.83,0.73,15.78,38.27,1.88,2.08,1.83,107.0,Moderate
4137,4137,Amritsar,2020-01-27,61.56,94.0,10.19,10.77,19.76,12.31,0.64,11.17,32.32,2.11,2.12,2.0,90.0,Satisfactory
4138,4138,Amritsar,2020-01-28,42.4,55.89,10.76,10.82,20.45,11.96,0.64,10.61,23.37,1.66,1.67,2.0,96.0,Satisfactory
4140,4140,Amritsar,2020-01-30,27.36,57.69,10.0,10.35,19.39,11.8,0.55,6.8,31.21,1.69,1.81,1.96,60.0,Satisfactory
4142,4142,Amritsar,2020-02-01,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,127.0,Moderate
4144,4144,Amritsar,2020-02-03,13.46,29.6,59.14,92.98,67.48,21.41,1.44,13.67,16.71,2.97,3.4,1.71,166.4635814889336,Moderate
4151,4151,Amritsar,2020-02-10,63.68,115.75,17.14,10.13,26.59,12.03,1.03,7.86,42.74,1.94,2.09,1.98,144.0,Moderate
4152,4152,Amritsar,2020-02-11,84.93,187.15,17.48,10.4,26.72,12.02,0.3,9.07,35.77,2.31,2.22,2.0,190.0,Moderate
4155,4155,Amritsar,2020-02-14,33.14,100.08,16.9,10.48,27.0,11.82,0.66,8.33,39.73,1.58,1.68,2.0,107.0,Moderate
4156,4156,Amritsar,2020-02-15,41.33,123.92,17.35,10.41,27.39,11.92,0.78,10.64,43.24,1.91,2.19,2.0,106.0,Moderate
4157,4157,Amritsar,2020-02-16,69.4,154.93,17.22,10.43,26.33,12.04,0.44,10.13,45.83,2.41,2.76,1.98,132.0,Moderate
4158,4158,Amritsar,2020-02-17,66.39,145.96,18.06,11.42,27.62,12.09,0.87,9.98,45.62,2.11,2.42,1.96,139.0,Moderate
4159,4159,Amritsar,2020-02-18,59.59,144.61,17.56,11.48,27.13,12.19,0.74,11.15,50.25,2.0,2.07,2.0,128.0,Moderate
4163,4163,Amritsar,2020-02-22,34.54,101.2,28.08,25.44,38.34,16.9,0.68,10.19,34.49143047551808,1.65,2.12,1.88,94.0,Satisfactory
4165,4165,Amritsar,2020-02-24,54.38,132.54,19.87,12.86,27.54,12.57,0.63,14.43,34.49143047551808,1.73,2.05,1.9,113.0,Moderate
4166,4166,Amritsar,2020-02-25,58.55,134.7,19.04,13.05,29.17,12.23,0.76,9.63,32.13,1.8,1.93,2.0,121.0,Moderate
4167,4167,Amritsar,2020-02-26,71.27,156.66,21.07,14.77,29.73,12.55,0.31,9.85,30.07,1.79,1.9,1.9,134.0,Moderate
4168,4168,Amritsar,2020-02-27,58.17,133.37,19.01,13.89,27.62,12.37,1.33,7.4,27.53,1.72,2.12,2.0,127.0,Moderate
4169,4169,Amritsar,2020-02-28,67.24,142.34,17.4,11.73,26.33,12.18,0.64,11.92,29.72,1.7,1.97,1.96,128.0,Moderate
4170,4170,Amritsar,2020-02-29,26.4,83.14,19.15,12.31,29.03,12.12,0.62,11.35,30.35,1.53,1.92,2.0,108.0,Moderate
4173,4173,Amritsar,2020-03-03,33.46,103.81,18.06,11.38,27.5,11.77,0.61,10.78,30.09,1.61,1.81,1.98,101.0,Moderate
4175,4175,Amritsar,2020-03-05,22.09,74.89,17.71,11.96,28.12,11.84,0.72,14.65,30.07,1.44,1.56,2.0,97.0,Satisfactory
4179,4179,Amritsar,2020-03-09,20.71,72.89,17.35,11.81,26.87,12.14,0.82,6.74,32.77,1.43,1.75,2.0,75.0,Satisfactory
4180,4180,Amritsar,2020-03-10,43.24,115.85,18.82,12.66,28.37,12.29,0.73,9.44,34.08,1.66,2.02,2.0,96.0,Satisfactory
4182,4182,Amritsar,2020-03-12,18.34,74.72,17.92,10.99,27.31,12.21,0.71,7.79,35.57,1.3,1.37,1.89,166.4635814889336,Moderate
4186,4186,Amritsar,2020-03-16,38.07,106.34,17.57,12.39,27.5,11.97,0.68,9.82,33.3,1.57,1.94,1.98,95.0,Satisfactory
4190,4190,Amritsar,2020-03-20,40.61,110.94,17.07,10.97,27.42,12.0,0.48,27.59,31.58,1.8,2.12,2.0,111.0,Moderate
4191,4191,Amritsar,2020-03-21,33.78,100.73,17.69,11.47,27.21,12.03,0.68,23.06,26.71,1.55,2.03,1.98,96.0,Satisfactory
4192,4192,Amritsar,2020-03-22,24.57,77.22,17.13,11.39,26.89,11.98,0.7,19.46,31.11,1.48,2.01,2.0,93.0,Satisfactory
4195,4195,Amritsar,2020-03-25,15.6,61.47,18.43,10.79,27.91,11.96,0.86,6.41,28.07,1.36,1.67,2.0,64.0,Satisfactory
4205,4205,Amritsar,2020-04-04,22.8,50.68,17.62,10.84,27.79,12.01,0.69,7.4,22.14,1.42,1.78,2.0,58.0,Satisfactory
4206,4206,Amritsar,2020-04-05,34.73,68.87,16.81,10.78,25.99,11.93,0.69,8.68,22.14,1.52,1.89,1.94,60.0,Satisfactory
4208,4208,Amritsar,2020-04-07,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
4210,4210,Amritsar,2020-04-09,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
4220,4220,Amritsar,2020-04-19,11.33,30.5,18.12,11.33,27.79,12.74,0.82,8.85,43.02,1.35,1.54,2.0,44.0,Good
4223,4223,Amritsar,2020-04-22,13.72,51.33,21.63,14.02,31.4,12.69,0.74,9.17,43.02,1.36,1.6,2.0,48.0,Good
4224,4224,Amritsar,2020-04-23,14.67,59.48,23.49,16.84,33.39,12.8,0.84,8.59,43.02,1.31,1.15,2.0,56.0,Satisfactory
4225,4225,Amritsar,2020-04-24,20.68,78.36,20.44,16.25,32.22,12.53,0.67,8.94,43.02,1.3,1.1,2.0,68.0,Satisfactory
4229,4229,Amritsar,2020-04-28,13.63,52.77,28.22,21.57,37.97,14.54,0.79,7.08,43.57,1.3,1.1,8.81,56.0,Satisfactory
4230,4230,Amritsar,2020-04-29,24.61,86.73,26.75,19.19,36.02,14.53,0.76,9.0,43.57,1.3,1.1,8.72,72.0,Satisfactory
4231,4231,Amritsar,2020-04-30,23.98,112.59,25.07,17.26,34.95,13.57,0.76,8.5,43.57,1.3,1.1,8.81,102.0,Moderate
4232,4232,Amritsar,2020-05-01,32.01,141.16,20.93,14.93,30.16,12.8,0.78,9.5,43.57,1.3,1.1,8.72,118.0,Moderate
4233,4233,Amritsar,2020-05-02,28.37,114.11,20.75,16.36,29.69,12.73,0.63,8.45,43.57,1.29,1.09,8.72,118.0,Moderate
4236,4236,Amritsar,2020-05-05,18.81,74.73,19.59,14.69,29.97,12.13,0.73,7.44,27.1,1.3,1.1,8.72,77.0,Satisfactory
4240,4240,Amritsar,2020-05-09,37.31,87.52,22.45,18.78,31.81,13.86,0.75,10.47,43.73,1.29,1.09,8.72,87.0,Satisfactory
4241,4241,Amritsar,2020-05-10,39.62,91.93,20.3,13.69,30.2,12.41,0.7,10.16,43.77,1.3,1.1,8.82,94.0,Satisfactory
4244,4244,Amritsar,2020-05-13,44.76,86.65,19.55,15.63,30.07,12.96,0.74,9.08,43.77,1.27,1.08,8.63,67.0,Satisfactory
4247,4247,Amritsar,2020-05-16,35.91,69.27,20.01,14.83,29.75,12.49,0.75,9.26,43.77,1.3,1.1,8.81,61.0,Satisfactory
4248,4248,Amritsar,2020-05-17,39.96,77.29,20.35,15.98,30.7,12.66,0.75,11.8,43.77,1.3,1.1,8.81,75.0,Satisfactory
4254,4254,Amritsar,2020-05-23,54.78,96.64,18.45,12.8,28.26,11.97,0.48,18.35,17.0,1.3,1.1,8.82,106.0,Moderate
4256,4256,Amritsar,2020-05-25,16.29,72.17,17.69,10.6,27.18,12.27,0.76,17.75,17.0,1.3,1.1,8.82,69.0,Satisfactory
4257,4257,Amritsar,2020-05-26,51.47,90.41,18.07,10.31,27.12,12.29,0.97,34.05,17.0,1.29,1.09,8.63,81.0,Satisfactory
4262,4262,Amritsar,2020-05-31,13.33,25.58,27.84,22.14,37.92,14.22,0.63,8.09,17.0,1.3,1.1,8.72,48.0,Good
4267,4267,Amritsar,2020-06-05,20.75,29.73,24.69,21.48,34.62,14.25,0.72,10.49,40.04,1.3,1.1,8.82,56.0,Satisfactory
4271,4271,Amritsar,2020-06-09,29.6,84.35,17.94,11.23,25.93,12.1,0.57,12.01,34.49143047551808,1.3,1.1,8.82,77.0,Satisfactory
4276,4276,Amritsar,2020-06-14,31.92,96.98,15.92,8.01,23.81,12.06,0.69,10.86,32.52,1.3,1.1,8.72,87.0,Satisfactory
4277,4277,Amritsar,2020-06-15,28.49,108.35,16.93,7.97,24.78,12.0,0.75,16.73,32.52,1.3,1.1,8.81,103.0,Moderate
4279,4279,Amritsar,2020-06-17,40.46,131.87,31.85,26.2,42.08,15.21,0.73,9.2,16.56,1.3,1.1,8.82,117.0,Moderate
4280,4280,Amritsar,2020-06-18,34.6,123.23,21.98,18.43,30.65,13.91,0.74,12.51,16.48,1.3,1.1,8.72,117.0,Moderate
4281,4281,Amritsar,2020-06-19,47.94,169.06,19.11,12.63,27.07,12.34,0.62,10.92,16.48,1.3,1.1,8.82,131.0,Moderate
4282,4282,Amritsar,2020-06-20,55.58,88.74,58.55,53.34,77.94,23.22,0.71,5.53,16.48,1.3,1.1,8.72,120.0,Moderate
4284,4284,Amritsar,2020-06-22,39.81,95.02,23.84,18.72,32.27,14.43,0.68,4.64,16.48,1.3,1.1,8.72,72.0,Satisfactory
4289,4289,Amritsar,2020-06-27,51.1,118.12710293078102,25.25,20.8,35.75,14.07,0.66,4.55,16.48,1.3,1.1,8.82,74.0,Satisfactory
4290,4290,Amritsar,2020-06-28,45.24,40.0,23.11,17.9,27.47,13.25,0.63,5.22,16.48,1.16,0.98,7.85,85.0,Satisfactory
4294,4294,Bengaluru,2015-01-01,67.45057794890272,118.12710293078102,3.26,17.33,10.88,20.36,0.33,3.54,10.73,0.56,4.64,3.0701278234985114,166.4635814889336,Moderate
4300,4300,Bengaluru,2015-01-07,67.45057794890272,118.12710293078102,22.6,28.66,30.84,22.73,1.46,5.13,16.98,34.66,8.65,3.0701278234985114,166.4635814889336,Moderate
4305,4305,Bengaluru,2015-01-12,67.45057794890272,118.12710293078102,10.85,28.4,21.85,41.39,0.61,7.16,16.41,38.04,41.87,3.0701278234985114,166.4635814889336,Moderate
4306,4306,Bengaluru,2015-01-13,67.45057794890272,118.12710293078102,10.65,30.56,22.9,35.34,0.63,6.51,10.34,39.44,14.6,3.0701278234985114,166.4635814889336,Moderate
4307,4307,Bengaluru,2015-01-14,67.45057794890272,118.12710293078102,9.09,25.94,19.43,39.82,1.83,8.66,16.47,27.38,8.7,3.0701278234985114,166.4635814889336,Moderate
4308,4308,Bengaluru,2015-01-15,67.45057794890272,118.12710293078102,6.79,20.64,15.92,21.43,3.29,6.24,19.35,25.84,15.67,3.0701278234985114,166.4635814889336,Moderate
4310,4310,Bengaluru,2015-01-17,67.45057794890272,118.12710293078102,8.17,17.37,21.64,11.05,15.98,24.91,14.33,24.29,21.54,3.0701278234985114,166.4635814889336,Moderate
4314,4314,Bengaluru,2015-01-21,67.45057794890272,118.12710293078102,7.02,5.45,18.26,5.07,18.3,82.07,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
4316,4316,Bengaluru,2015-01-23,67.45057794890272,118.12710293078102,3.8,12.82,12.0,10.06,5.04,27.33,17.78,22.15,14.52,3.0701278234985114,166.4635814889336,Moderate
4319,4319,Bengaluru,2015-01-26,67.45057794890272,118.12710293078102,2.27,13.85,8.43,16.63,5.39,2.95,21.35,18.29,9.1,3.0701278234985114,166.4635814889336,Moderate
4320,4320,Bengaluru,2015-01-27,67.45057794890272,118.12710293078102,10.92,16.71,15.67,18.57,1.71,3.09,27.37,17.69,5.15,3.0701278234985114,166.4635814889336,Moderate
4323,4323,Bengaluru,2015-01-30,67.45057794890272,118.12710293078102,62.22,4.93,51.53,13.32,1.06,24.31,19.51,14.55,3.54,3.0701278234985114,166.4635814889336,Moderate
4325,4325,Bengaluru,2015-02-01,67.45057794890272,118.12710293078102,2.99,22.14,13.01,7.48,0.36,7.36,20.75,12.01,2.2,3.0701278234985114,166.4635814889336,Moderate
4330,4330,Bengaluru,2015-02-06,67.45057794890272,118.12710293078102,5.04,25.98,16.42,11.71,0.5,3.12,13.76,19.99,13.55,3.0701278234985114,166.4635814889336,Moderate
4331,4331,Bengaluru,2015-02-07,67.45057794890272,118.12710293078102,10.59,22.46,18.41,12.88,1.45,5.51,20.96,17.83,3.94,3.0701278234985114,166.4635814889336,Moderate
4333,4333,Bengaluru,2015-02-09,67.45057794890272,118.12710293078102,3.78,22.48,13.7,13.61,0.64,3.37,31.01,0.9,11.86,3.0701278234985114,166.4635814889336,Moderate
4336,4336,Bengaluru,2015-02-12,67.45057794890272,118.12710293078102,10.1,21.47,18.0,26.22,0.96,12.98,44.15,0.6,2.86,3.0701278234985114,166.4635814889336,Moderate
4338,4338,Bengaluru,2015-02-14,67.45057794890272,118.12710293078102,11.29,26.05,21.19,17.14,0.9,5.18,31.76,0.51,3.45,3.0701278234985114,166.4635814889336,Moderate
4339,4339,Bengaluru,2015-02-15,67.45057794890272,118.12710293078102,4.71,23.68,15.19,11.14,0.76,4.82,45.16,0.44,1.74,3.0701278234985114,166.4635814889336,Moderate
4342,4342,Bengaluru,2015-02-18,67.45057794890272,118.12710293078102,17.48,23.38,23.51,6.34,3.23,17.62,28.85,40.42,42.4,3.0701278234985114,166.4635814889336,Moderate
4343,4343,Bengaluru,2015-02-19,67.45057794890272,118.12710293078102,14.46,27.71,24.33,19.81,2.18,11.15,31.69,69.69,36.1,3.0701278234985114,166.4635814889336,Moderate
4344,4344,Bengaluru,2015-02-20,67.45057794890272,118.12710293078102,10.0,22.83,18.26,31.1,6.95,12.52,33.43,69.54,30.4,3.0701278234985114,166.4635814889336,Moderate
4345,4345,Bengaluru,2015-02-21,67.45057794890272,118.12710293078102,4.77,21.34,14.07,12.5,8.98,14.25,39.2,3.2808403045005514,8.98,3.0701278234985114,166.4635814889336,Moderate
4350,4350,Bengaluru,2015-02-26,67.45057794890272,118.12710293078102,9.7,31.32,22.64,17.22,1.24,7.13,65.41,3.2808403045005514,1.3,3.0701278234985114,166.4635814889336,Moderate
4351,4351,Bengaluru,2015-02-27,67.45057794890272,118.12710293078102,6.52,26.9,18.07,20.09,1.14,4.0,66.49,3.2808403045005514,1.09,3.0701278234985114,166.4635814889336,Moderate
4352,4352,Bengaluru,2015-02-28,67.45057794890272,118.12710293078102,2.94,19.57,11.15,17.43,1.38,2.82,62.61,3.2808403045005514,1.38,3.0701278234985114,166.4635814889336,Moderate
4364,4364,Bengaluru,2015-03-12,67.45057794890272,118.12710293078102,5.47,25.29,17.47,23.55,1.9,1.67,37.65,3.2808403045005514,2.8,3.0701278234985114,166.4635814889336,Moderate
4366,4366,Bengaluru,2015-03-14,67.45057794890272,118.12710293078102,12.44,20.58,19.72,1.12,18.28,19.64,49.53,3.2808403045005514,20.62,3.0701278234985114,166.4635814889336,Moderate
4368,4368,Bengaluru,2015-03-16,67.45057794890272,118.12710293078102,12.37,18.67,20.45,4.81,25.25,30.13,47.74,3.2808403045005514,30.81,3.0701278234985114,166.4635814889336,Moderate
4370,4370,Bengaluru,2015-03-18,67.45057794890272,118.12710293078102,35.23,34.01,40.01,20.82,6.17,3.76,49.27,156.71,39.67,3.0701278234985114,166.4635814889336,Moderate
4373,4373,Bengaluru,2015-03-21,48.59,118.12710293078102,3.47,27.0,18.04,28.02,3.89,1.94,52.96,21.33,196.72,3.0701278234985114,91.0,Satisfactory
4374,4374,Bengaluru,2015-03-22,47.38,118.12710293078102,2.84,22.39,15.33,23.19,11.29,2.05,71.85,14.97,138.2,3.0701278234985114,120.0,Moderate
4376,4376,Bengaluru,2015-03-24,60.47,118.12710293078102,5.39,29.87,20.88,35.1,1.46,6.07,64.12,5.9,61.48,3.0701278234985114,119.0,Moderate
4380,4380,Bengaluru,2015-03-28,40.0,118.12710293078102,2.93,17.99,11.36,28.74,8.07,2.5,44.65,0.14,8.39,3.0701278234985114,152.0,Moderate
4384,4384,Bengaluru,2015-04-01,36.42,118.12710293078102,2.68,8.83,9.13,31.37,9.6,3.17,48.25,0.14,8.16,3.0701278234985114,151.0,Moderate
4385,4385,Bengaluru,2015-04-02,38.15,118.12710293078102,4.24,10.29,9.99,43.09,4.06,7.65,53.26,0.14,5.29,3.0701278234985114,123.0,Moderate
4386,4386,Bengaluru,2015-04-03,35.11,118.12710293078102,2.63,5.99,6.82,26.04,5.34,2.32,57.75,0.14,7.4,3.0701278234985114,178.0,Moderate
4388,4388,Bengaluru,2015-04-05,36.92,118.12710293078102,2.2,9.0,7.6,26.22,9.58,4.07,65.62,0.14,12.02,3.0701278234985114,160.0,Moderate
4394,4394,Bengaluru,2015-04-11,32.08,118.12710293078102,6.6,7.09,8.82,30.95,1.7,3.22,53.91,0.29,1.75,3.0701278234985114,107.0,Moderate
